Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
SUV,Mustang Mach-E RWD California Route 1,2022.0,Ford,Electric,Electric Motor,216 kW
SUV,Mustang Mach-E RWD Extended,2022.0,Ford,Electric,Electric Motor,216 kW
SUV,Yukon 2WD,2022.0,GMC,Biodiesel (B20),Compression Ignition,3.0L
SUV,Yukon 4WD,2022.0,GMC,Biodiesel (B20),Compression Ignition,3.0L
SUV,Yukon XL 2WD,2022.0,GMC,Biodiesel (B20),Compression Ignition,3.0L
SUV,Yukon XL 4WD,2022.0,GMC,Biodiesel (B20),Compression Ignition,3.0L
Sedan/Wagon,Accord,2022.0,Honda,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,Accord Sport/Touring,2022.0,Honda,Hybrid Electric,Spark Ignition,2.0L
SUV,CR-V AWD,2022.0,Honda,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,Insight,2022.0,Honda,Hybrid Electric,Spark Ignition,1.5L
Sedan/Wagon,Insight Touring,2022.0,Honda,Hybrid Electric,Spark Ignition,1.5L
Sedan/Wagon,Elantra Hybrid,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Elantra Hybrid Blue,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Ioniq,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
SUV,Ioniq 5 AWD (Long Range),2022.0,Hyundai,Electric,Electric Motor,74 kW
SUV,Ioniq 5 RWD,2022.0,Hyundai,Electric,Electric Motor,125 kW
SUV,Ioniq 5 RWD (Long Range),2022.0,Hyundai,Electric,Electric Motor,168 kW
Sedan/Wagon,Ioniq Blue,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Ioniq Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,Spark Ignition,1.6L
SUV,Kona Electric,2022.0,Hyundai,Electric,Electric Motor,150 kW
