CodigoCombustible,NombreEstacion,Dirección,Ciudad,Estado,AccesoPublico,Latitud,Longitud,IDEstacion
CNG,Manhattan Beer,20 Dunnigan Dr,Suffern,NY,False,41.116716,-74.120396,60840
E85,Mirabito Travel Center,1166 Castle Creek Rd,Castle Creek,NY,True,42.231607,-75.916744,61019
ELEC,ROCHESTER NY WASH SQ GARAGE2,111 Woodbury Blvd,Rochester,NY,True,43.152697,-77.603915,61063
ELEC,ROCHESTER NY COURT ST 2,194 Court St,Rochester,NY,True,43.15395,-77.607471,61065
ELEC,ROCHESTER NY PORT OF ROCH 1,1000 N River St,Rochester,NY,True,43.256302,-77.606672,61213
E85,NOCO Express #27,1555 N French Rd,Amherst,NY,True,43.034675,-78.767652,61254
E85,JFK Airport Travel Plaza - National Grid - Clean Energy,150th Ave & 147th St,Queens,NY,True,40.66297896114984,-73.7921584550171,61345
ELEC,Broccolo Tree and Lawncare Garden Center,2755 Penfield Rd,Fairport,NY,True,43.129935,-77.386788,61760
LPG,Gladstone Sunoco,5420 W Henrietta Rd,West Henrietta,NY,True,43.0443,-77.659377,61907
BD,Monroe County Regional Transportation,1157 Scottsville Rd,Rochester,NY,False,43.120818,-77.65186,62291
ELEC,ROCHESTER NY PUBLC MARKET,39 Trinidad St,Rochester,NY,True,43.16603,-77.591324,62307
CNG,GAIN Clean Fuel - Nexus Natural Gas,380 Grand Island Blvd,Tonawanda,NY,True,42.983441,-78.91425,62471
CNG,American Natural Gas,1618 Sears Rd,Elmira,NY,False,42.155438,-76.860717,62556
ELEC,Village of Spencerport - Town Hall,27 West Ave,Spencerport,NY,True,43.191311,-77.801933,63140
E85,Westbury 106 Valero,549 Old Country Rd,Westbury,NY,True,40.750129,-73.577703,63286
E85,Conoco,137 Hillside Ave,Williston Park,NY,True,40.756145,-73.644781,63287
ELEC,Niagara Falls International Airport,2035 Niagara Falls Blvd,Niagara Falls,NY,True,43.101378,-78.941072,63478
ELEC,Buffalo Niagara International Airport,4200 Genesee St,Buffalo,NY,True,42.933441,-78.731633,63479
ELEC,Leo Kaytes Ford,145 Route 94 S,Warwick,NY,False,41.237296,-74.379503,63618
ELEC,Towne Ford Lincoln,3535 Southwestern Blvd,Orchard Park,NY,True,42.786617,-78.761212,63643
CNG,Clean Energy - La Guardia Airport,Marine Air Terminal - Building 37,Flushing,NY,True,40.77,-73.89,63674
CNG,Waste Management - West Seneca,100 Ransier Dr,Buffalo,NY,False,42.844172,-78.747585,63976
ELEC,Finger Lakes Waterfall Resort Motel & Cabins,3835 State Route 414,Burdett,NY,True,42.418993,-76.867035,63982
ELEC,Rochester Institute of Technology - Lot T,1 Lomb Memorial Dr,Rochester,NY,True,43.08779,-77.674413,63988
E85,New York State Thruway Authority - Nyack Section 5,201 N Route 303,West Nyack,NY,False,41.101648,-73.952196,64026
ELEC,Albany International Airport,737 Albany Shaker Rd,Albany,NY,True,42.739746,-73.808186,64131
ELEC,Dana Ford Lincoln,266 W Service Rd,Staten Island,NY,True,40.587162,-74.194747,64140
ELEC,Ramp Ford,4869 Nesconset Hwy,Port Jefferson Station,NY,True,40.91966,-73.051332,64141
E85,Valero - Newburgh,315 Route 17K,Newburgh,NY,True,41.52584822712401,-74.12960444445802,64232
E85,Empire Gas Station,2 Madison St,Mastic Beach,NY,True,40.803943,-72.853738,64315
CNG,Clean Energy - Cedar Bus Co,401 E Amherst St,Buffalo,NY,True,42.938929,-78.823213,64694
ELEC,Cliff's Elbow Too,1085 Franklinville Rd,Laurel,NY,True,40.968038,-72.562787,64705
ELEC,Cliff's Elbow Room,1549 Main Rd,Jamesport,NY,True,40.948819,-72.582795,64706
ELEC,Town of Cortlandt,1 Heady St,Cortlandt,NY,True,41.310139,-73.905002,65270
ELEC,Tarrytown Metro - North Train Station,4173 Green St,Tarrytown,NY,True,41.076261187618826,-73.86568628783567,65271
ELEC,Chappaqua Metro - North Train Station,108 Allen Pl,Chappaqua,NY,True,41.159228,-73.773508,65273
ELEC,Hamilton Parking Garage,365 Hamilton Ave,White Plains,NY,True,41.034121,-73.766241,65274
ELEC,Longview Parking Garage,11 Longview Ave,White Plains,NY,True,41.026867,-73.767674,65275
ELEC,Lyons Place Municipal Parking Garage,4 Lyons Pl,White Plains,NY,True,41.02894,-73.763727,65276
ELEC,Skaneateles Village Hall,26 Fennell St,Skaneateles,NY,True,42.948234,-76.431694,65277
ELEC,Lexington-Grove East Garage,100 Main St,White Plains,NY,True,41.031464,-73.769946,65278
ELEC,Market 32,19 Centre Dr,Plattsburgh,NY,True,44.695363,-73.492162,65281
ELEC,Beacon Metro North Train Station,1 Ferry Plaza,Beacon,NY,True,41.505079,-73.983205,65284
ELEC,Stony Brook University,118 Administration,Stony Brook,NY,True,40.914818,-73.119813,65285
ELEC,Port Authority Bus Terminal,625 8th Ave,New York,NY,True,40.756177,-73.990558,65287
ELEC,Bay Ridge Municipal Parking Garage,8501 5th Ave,Brooklyn,NY,True,40.62215,-74.02565,65288
ELEC,Court Square Municipal Parking Garage,45 Court Square,Queens,NY,True,40.745358,-73.942642,65290
ELEC,East 149th Street Municipal Parking Garage,315 E 149th St,Bronx,NY,True,40.817326,-73.920914,65291
ELEC,Saint George Courthouse,54 Central Ave,Staten Island,NY,True,40.63947,-74.076912,65296
ELEC,Jamestown Community College,525 Falconer St,Jamestown,NY,True,42.114535,-79.217718,65299
ELEC,Rouses Point,139 Lake St,Rouses Point,NY,True,44.991537,-73.36399,65302
ELEC,Long Island Railroad - Freeport,Freeport Plaza E,Freeport,NY,True,40.656692,-73.580924,65303
CNG,American Natural Gas,5873 Genesee St,Lancaster,NY,False,42.939601,-78.630991,65389
CNG,American Natural Gas,34 Cady Hill Blvd,Saratoga Springs,NY,True,43.062221,-73.822235,65392
LPG,U-Haul,5967 E Taft Rd,North Syracuse,NY,True,43.125565,-76.107338,67471
LPG,U-Haul,1001 Canal St,Syracuse,NY,True,43.051679,-76.124668,67546
LPG,U-Haul,2043 Central Ave,Albany,NY,True,42.749852,-73.867904,67569
LPG,U-Haul,2494 Corning Rd,Elmira Heights,NY,True,42.15063,-76.833014,67594
LPG,U-Haul,1661 Long Pond Rd,Greece,NY,True,43.186095,-77.702153,67609
LPG,U-Haul,1875 E Ridge Rd,Irondequoit,NY,True,43.201343,-77.567113,67625
ELEC,ScottTech,336 Court St,Binghamton,NY,True,42.103472,-75.892293,67753
E85,Valero - Wading River,5904 Route 25A,Wading River,NY,True,40.945671,-72.823735,68235
