Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Manufacturer,Category,Fuel,Fuel Configuration Name,Electric-Only Range
12672,35,213,29,Yukon XL 4WD,2021,,,,20.0,26.0,23.0,CI,3.0L,GMC,SUV,Biodiesel (B20),Dedicated,
12643,45,209,29,CR-V AWD,2021,,,,40.0,35.0,37.5,SI,2.0L,Honda,SUV,Hybrid Electric,Hybrid Electric,
12725,41,351,29,Kona Electric,2021,132.0,108.0,120.0,,,120.0,e-motor,150 kW,Hyundai,SUV,Electric,Dedicated,258.0
12631,9,351,29,Nexo,2021,59.0,54.0,57.0,,,57.0,FC,120 kW,Hyundai,SUV,Hydrogen Fuel Cell,Dedicated,
12632,9,351,29,Nexo Blue,2021,65.0,58.0,61.0,,,61.0,FC,120 kW,Hyundai,SUV,Hydrogen Fuel Cell,Dedicated,
12726,45,385,29,E-PACE MHEV,2021,,,,21.0,26.0,23.5,SI,2.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
12708,45,385,29,F-PACE P340 MHEV,2021,,,,20.0,27.0,23.5,SI,3.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
12709,45,385,29,F-PACE P400 MHEV,2021,,,,20.0,26.0,23.0,SI,3.0L,Jaguar,SUV,Hybrid Electric,Dedicated,
12757,41,385,29,I-PACE EV400,2021,80.0,72.0,76.0,,,76.0,e-motor,,Jaguar,SUV,Electric,Dedicated,234.0
12525,45,275,29,Wrangler 2dr 4x4,2021,,,,20.0,24.0,22.0,SI,3.6L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
12526,45,275,29,Wrangler 4dr 4x4,2021,,,,19.0,24.0,21.5,SI,3.6L,Jeep,SUV,Hybrid Electric,Hybrid Electric,
12747,57,275,29,Wrangler 4dr 4xe,2021,,,49.0,20.0,20.0,49.0,SI,2.0L,Jeep,SUV,Plug-in Hybrid Electric,Hybrid Electric,22.0
12579,45,361,29,Sorento Hybrid,2021,,,,39.0,35.0,37.0,SI,1.6L,Kia,SUV,Hybrid Electric,Hybrid Electric,
12581,45,387,29,Defender 110 MHEV,2021,,,,17.0,22.0,19.5,CI,3.0L,Land Rover,SUV,Hybrid Electric,Hybrid Electric,
